,paragraph,error_message,polarity_class,polarity_score,emotion
10,ভারত বলছি জনগণের কথা যাব ভারত বাংলাদেশের মানুষের রইল ভালোবাসা,,stronglyPositive,0.9997515678405764,"{""neutral"":0.0035937067586928606,""happy"":0.9945565462112427,""anger/disgust"":0.0024878547992557287,""sadness"":0.0010697906836867332,""surprise"":0.0004566709976643324,""fear"":0.000112968533358071}"
11,এন অবৈধ দল চোরের দল খুনী দল জনগন জানে সারা মাট খালি,,stronglyNegative,-0.999923062324524,"{""neutral"":0.0002155143884010613,""happy"":0.00037283083656802773,""anger/disgust"":0.9986997842788696,""sadness"":0.010806667618453503,""surprise"":0.0003289315209258348,""fear"":0.000130561224068515}"
12,এন অবৈধ দলের দালাল সার্কাস বিনোদন পাটি,,stronglyNegative,-0.9999345779418946,"{""neutral"":0.00023634485842194408,""happy"":0.00016072855214588344,""anger/disgust"":0.999653697013855,""sadness"":0.0010401986073702574,""surprise"":0.0005142703885212541,""fear"":0.000023202253942145035}"
13,সারা মাট খালি এন জনগন,,stronglyNegative,-0.999579930305481,"{""neutral"":0.013608156703412533,""happy"":0.006524069234728813,""anger/disgust"":0.8240460157394409,""sadness"":0.23936648666858673,""surprise"":0.016460169106721878,""fear"":0.01732310838997364}"
14,সবাই শান্তি শৃঙ্খলা বজায় আন্দোলন আপনাদের সমাবেশের জাতে মানুষের ক্ষয় ক্ষতি,,stronglyNegative,-0.9961357355117798,"{""neutral"":0.005101737566292286,""happy"":0.005373900756239891,""anger/disgust"":0.8373832106590271,""sadness"":0.35639846324920654,""surprise"":0.004328685346990824,""fear"":0.03277958929538727}"
15,যেখানেই বাঁধা আসবে সেখানেই প্রতিরোধ জনগণের বিজয় হবেই ইনশাআল্লাহ,,stronglyPositive,0.9997504949569704,"{""neutral"":0.10223514586687088,""happy"":0.9038447737693787,""anger/disgust"":0.008493326604366302,""sadness"":0.0013614025665447116,""surprise"":0.0008599955472163856,""fear"":0.00026978662936016917}"
16,বানচত ইউটিউবার সকালের খবর দেখাছ কার খবর,,weaklyNegative,-0.5989863395690918,"{""neutral"":0.0005132603691890836,""happy"":0.0002550630597397685,""anger/disgust"":0.9989720582962036,""sadness"":0.0020096562802791595,""surprise"":0.0011524821165949106,""fear"":0.00005770726056653075}"
17,সৈরাচার অবৈধ দখল দার নির্লজ্জ বেহায়া হাসিনা সরকারের পতন অনিবার্য,,stronglyNegative,-0.9998700141906738,"{""neutral"":0.0002902853593695909,""happy"":0.0005451745237223804,""anger/disgust"":0.9990034699440002,""sadness"":0.00494337035343051,""surprise"":0.0003455887781456113,""fear"":0.0001675664389040321}"
18,লাঠি ছাড়া বিক্লব এন পির,,weaklyNegative,-0.5969057083129883,"{""neutral"":0.5400375127792358,""happy"":0.0324309766292572,""anger/disgust"":0.39074525237083435,""sadness"":0.0794747844338417,""surprise"":0.11433703452348709,""fear"":0.045267507433891296}"
19,বাঁশে লাঠি তৈরি কর খুনি হাসিনা বিদাই কর,,stronglyNegative,-0.9999366760253906,"{""neutral"":0.00026874279137700796,""happy"":0.00024681436480022967,""anger/disgust"":0.9992702603340149,""sadness"":0.0028555397875607014,""surprise"":0.00045431655598804355,""fear"":0.0000571587479498703}"
20,আলহামদুলিল্লাহ বিএমপি আসবে,,weaklyPositive,0.4643459796905518,"{""neutral"":0.0015926037449389696,""happy"":0.9987086057662964,""anger/disgust"":0.0002439060917822644,""sadness"":0.0005507071618922055,""surprise"":0.0012283804826438427,""fear"":0.0001149537565652281}"
21,লাভ ইউ বিএনপি বিএনপি জিন্দাবাদ সমাবেশ সফল,,stronglyPositive,0.9993427515029908,"{""neutral"":0.033357422798871994,""happy"":0.8622460961341858,""anger/disgust"":0.2069552093744278,""sadness"":0.011768344789743423,""surprise"":0.001956120366230607,""fear"":0.0013591075548902154}"
22,আরে সাংবাদিক ভাই বলছেন লাখ মানুষের সমাগম গত রাতে এন নেতা চট্টগ্রামের ডাঃ সাহাদত হুসেন ২০১২ সালে চট্টগ্রামের সমাবেসে জনসমাগম হয়েছিল ১৬ লাখ ১২ই অক্টোবরের সমাবেশে জনসমাগম ৩৬ লাখ,,neutral,-0.1984997868537903,"{""neutral"":0.9653322696685791,""happy"":0.0034925565123558044,""anger/disgust"":0.004410728812217712,""sadness"":0.0030948694329708815,""surprise"":0.06923294067382812,""fear"":0.005753516219556332}"
23,খুনি খালেদার আস্তানা ভেঙে দাও গুড়িয়ে দাও,,stronglyNegative,-0.9999048471450804,"{""neutral"":0.00023974422947503626,""happy"":0.0001557668438181281,""anger/disgust"":0.9996185302734375,""sadness"":0.0018889181083068252,""surprise"":0.00038314476842060685,""fear"":0.000048895770305534825}"
24,খালেদা জিয়ার গুন গাছ কাটা মানুষ খুন,,stronglyNegative,-0.9999450206756592,"{""neutral"":0.000740670773666352,""happy"":0.00022584704856853932,""anger/disgust"":0.998601496219635,""sadness"":0.0018623326905071735,""surprise"":0.0016757987905293703,""fear"":0.00017638804274611175}"
25,ভ্রু কাটা কমলা করিস ঝামেলা,,weaklyNegative,-0.5874212741851806,"{""neutral"":0.009162602946162224,""happy"":0.0013908724067732692,""anger/disgust"":0.9765527844429016,""sadness"":0.021750930696725845,""surprise"":0.009363273158669472,""fear"":0.003519603284075856}"
26,মানুষ পায় সোনার খনি পেয়েছি চোরের খনি,,stronglyNegative,-0.9998886346817016,"{""neutral"":0.0018793430645018816,""happy"":0.001990940887480974,""anger/disgust"":0.9888272285461426,""sadness"":0.017970601096749306,""surprise"":0.0056197140365839005,""fear"":0.0007167041185311973}"
27,বাংলাদেশে চোর দেখুন ভিডিও দেখুন,,stronglyNegative,-0.9951980829238892,"{""neutral"":0.21658717095851898,""happy"":0.012340877205133438,""anger/disgust"":0.7946481704711914,""sadness"":0.05187954753637314,""surprise"":0.02348988689482212,""fear"":0.009576791897416115}"
28,চোরের অনুসারী বিশ্ব চোর,,stronglyNegative,-0.9999397754669188,"{""neutral"":0.0010582366958260536,""happy"":0.0024886098690330982,""anger/disgust"":0.9931957721710205,""sadness"":0.01896810531616211,""surprise"":0.0009163041249848902,""fear"":0.0005613465909846127}"
29,বিধবা নারীর পরক্রিয়া প্রেম,,stronglyNegative,-0.9983861446380616,"{""neutral"":0.3810540437698364,""happy"":0.0026505789719522,""anger/disgust"":0.2615785002708435,""sadness"":0.15106052160263062,""surprise"":0.1185862347483635,""fear"":0.03759681433439255}"
30,বিএনপি দের অস্তিত্ব বাংলাদেশ মুছে কেননা অস্তিত্ব আগেও এখনো,,stronglyNegative,-0.9975525379180908,"{""neutral"":0.0008291098638437688,""happy"":0.000538295425940305,""anger/disgust"":0.9948533177375793,""sadness"":0.014447282068431377,""surprise"":0.00047615787480026484,""fear"":0.0004928684793412685}"
31,এরচেয়ে জনতা ব্যারিসটার সুমনের রাজনৈতিক দলের মিটিং খমতায় বিএনপি,,weaklyNegative,-0.5992004632949829,"{""neutral"":0.0005137559492141008,""happy"":0.00044039631029590964,""anger/disgust"":0.9981901049613953,""sadness"":0.005567698739469051,""surprise"":0.0007917646435089409,""fear"":0.00018683884991332889}"
32,পুলিশ সতর্ক অবস্থানে মহলের নির্দেশের অপেক্ষায় এইবার পুলিশ আওয়ামীলীগ হয়ে যায় পুলিশ নামের বাহিনী বাংলাদেশে থাকবেনা ইন শাহ আল্লাহ,,stronglyNegative,-0.9954221963882446,"{""neutral"":0.012199659831821918,""happy"":0.01141778938472271,""anger/disgust"":0.9117361307144165,""sadness"":0.11383570730686188,""surprise"":0.008795792236924171,""fear"":0.10665980726480484}"
33,বডিতে আত্তা আসলো কই আওয়ামী লীগ কই,,weaklyNegative,-0.5787062644958496,"{""neutral"":0.0038498700596392155,""happy"":0.00046236818889155984,""anger/disgust"":0.9913098812103271,""sadness"":0.010079728439450264,""surprise"":0.0023267106153070927,""fear"":0.0005297116586007178}"
34,এন পির ভাইদের অনুরোধ আপনারা খালি হাতে ময়দানে যাবেন খালি হাতে কখনো সংগ্রাম,,weaklyNegative,-0.5908099174499511,"{""neutral"":0.017401132732629776,""happy"":0.0051096766255795956,""anger/disgust"":0.9174805283546448,""sadness"":0.09646773338317871,""surprise"":0.00596239697188139,""fear"":0.027989685535430908}"
35,চালিয়ে যাও দেশকে বাচাও,,stronglyPositive,0.9779958724975588,"{""neutral"":0.1997976303100586,""happy"":0.22424094378948212,""anger/disgust"":0.04344784840941429,""sadness"":0.06729983538389206,""surprise"":0.006635600700974464,""fear"":0.26299989223480225}"
36,আওয়ামী ছাএলীগ পুলিশ লীগ আজকে কই ইদুরের পালাইছে৷ খেলা আজকে,,stronglyNegative,-0.9998993158340456,"{""neutral"":0.002683410421013832,""happy"":0.0009897390846163034,""anger/disgust"":0.9914889335632324,""sadness"":0.012773009948432446,""surprise"":0.0027634466532617807,""fear"":0.0010340823791921139}"
37,নিরাপত্তার কথা শুননে ইচ্চা মত হাসতে ইচ্চা,,weaklyPositive,0.5983711004257203,"{""neutral"":0.02122030407190323,""happy"":0.9762812852859497,""anger/disgust"":0.005943099968135357,""sadness"":0.0033079483546316624,""surprise"":0.0022767402697354555,""fear"":0.000797961198259145}"
38,হর বাংলাদেশের টোটাল নেতা করমি,,stronglyPositive,0.8299318790435792,"{""neutral"":0.0027710485737770796,""happy"":0.0010514986934140325,""anger/disgust"":0.991557240486145,""sadness"":0.006893489044159651,""surprise"":0.0032728768419474363,""fear"":0.00041010233690030873}"
39,কোথায় লাখো মানুষ ১০ মানুষ,,stronglyNegative,-0.9936329841613768,"{""neutral"":0.09310856461524963,""happy"":0.011760389432311058,""anger/disgust"":0.24799689650535583,""sadness"":0.17999473214149475,""surprise"":0.5953822135925293,""fear"":0.014577851630747318}"
40,মানিষ কই খালি মাঠ মানুষ গ্রামের বাজারে,,weaklyNegative,-0.5928083896636962,"{""neutral"":0.24056755006313324,""happy"":0.014545104466378689,""anger/disgust"":0.5337913632392883,""sadness"":0.14702679216861725,""surprise"":0.1546807885169983,""fear"":0.034317903220653534}"
41,আওয়ামী লীগের নিচের একটা বালও ছিরতে পারবে আওয়ামী লীগ খেলার রেডি অডারের অপেক্ষা দেখবি আওয়ামী লীগ মারামারি মাস্টার,,stronglyNegative,-0.9999394416809082,"{""neutral"":0.0003226354601792991,""happy"":0.0004733694368042052,""anger/disgust"":0.9984112977981567,""sadness"":0.007099197246134281,""surprise"":0.0006010150536894798,""fear"":0.00016238501120824367}"
42,পিকচার আভি বাকি হে হে জালিম,,stronglyNegative,-0.9853604078292848,"{""neutral"":0.006254564505070448,""happy"":0.004866216331720352,""anger/disgust"":0.9672595858573914,""sadness"":0.02235235832631588,""surprise"":0.003293608548119664,""fear"":0.0011104473378509283}"
43,একটা গুরু বেস্ বাবার দিলে মানুষ,,weaklyPositive,0.564229989051819,"{""neutral"":0.009573165327310562,""happy"":0.7690050601959229,""anger/disgust"":0.06505940854549408,""sadness"":0.005427901167422533,""surprise"":0.21866324543952942,""fear"":0.0009231235017068684}"
44,মাএ কজ লোক আসছে,,neutral,-0.1998631000518799,"{""neutral"":0.13905680179595947,""happy"":0.8212040662765503,""anger/disgust"":0.057500436902046204,""sadness"":0.049240414053201675,""surprise"":0.028385614976286888,""fear"":0.020143873989582062}"
45,আজকের সমাবেশ সফল হউক চট্টগ্রাম জেলা ছাএদল বাংলাদেশ জিন্দাবাদ,,weaklyPositive,0.5942217350006105,"{""neutral"":0.017889484763145447,""happy"":0.9827960133552551,""anger/disgust"":0.0016405251808464527,""sadness"":0.0005902247503399849,""surprise"":0.0005275218863971531,""fear"":0.00017499511886853725}"
46,বিএনপির সমাবেশ গনের সমাবেশ তত্ত্বাবেদক সরকারের অধিনে ভোট ইভিএম বন্ধ সমাবেশ আসবে জনগণের মাথায়,,stronglyNegative,-0.9182210683822633,"{""neutral"":0.010808421298861504,""happy"":0.003584767458960414,""anger/disgust"":0.9773443341255188,""sadness"":0.02538282796740532,""surprise"":0.0033273613080382347,""fear"":0.00350860133767128}"
47,বিএনপি জনগণের সমর্থন ক্ষমতায় আসবে ইনশাআল্লাহ,,stronglyPositive,0.9995726823806764,"{""neutral"":0.02059059962630272,""happy"":0.9554890394210815,""anger/disgust"":0.023666279390454292,""sadness"":0.0024533956311643124,""surprise"":0.0004464121884666383,""fear"":0.00022591058223042637}"
48,কলকাতা বলছি বিএনপিকে সমর্থন,,weaklyPositive,0.5999171972274782,"{""neutral"":0.5551408529281616,""happy"":0.34627363085746765,""anger/disgust"":0.04515307396650314,""sadness"":0.0022869426757097244,""surprise"":0.006380229257047176,""fear"":0.0008436260977759957}"
49,চাইতে ইসলামী আন্দোলন মানুষ হইছে খবর তোরা সাংবাদিক রাজাকার,,stronglyNegative,-0.9999329566955566,"{""neutral"":0.000150460924487561,""happy"":0.00019568477000575513,""anger/disgust"":0.9997348189353943,""sadness"":0.0019260012777522206,""surprise"":0.00040302719571627676,""fear"":0.000026461253582965583}"
50,একটা বিভাগীয় সমাবেশ লোক কোথায় আওমীলিগ বিভাগীয় সমাবেশের ডাক দেয় মাঠে জায়গা প্রশাসন হিমশিম খেতে বাংলার জনগন যানে আবারো বিএনপি হ্মেমতায় আসে জঙ্গিদের আস্তানা হাওয়া ভবন তৈরি বাংলার জনগন উন্নয়নের স্বার্থে আবারো আওমীলিগ ভোট দিবে,,stronglyNegative,-0.9999004125595092,"{""neutral"":0.012665444053709507,""happy"":0.020334439352154732,""anger/disgust"":0.9344022870063782,""sadness"":0.16002216935157776,""surprise"":0.01631437987089157,""fear"":0.0267855916172266}"
51,লাখো মানুষ দেহি সাংবাদিক লাখো মানুষ গুলো কই জলদি দেখান চাই,,stronglyNegative,-0.9998303174972534,"{""neutral"":0.10161136090755463,""happy"":0.038653548806905746,""anger/disgust"":0.7632258534431458,""sadness"":0.06332342326641083,""surprise"":0.08275411278009415,""fear"":0.020825181156396866}"
52,দাবী একটা নিরপেক্ষ সরকার গঠন নিরপেক্ষ নির্বাচন চাই স্বৈরাচার মুক্ত ইনশাআল্লাহ,,stronglyPositive,0.9999037504196168,"{""neutral"":0.006107736844569445,""happy"":0.002101600170135498,""anger/disgust"":0.9917431473731995,""sadness"":0.0030406813602894545,""surprise"":0.0006899954751133919,""fear"":0.0001425690861651674}"
53,আওয়ামী লীগ বাংলাদেশের বাংলাদেশ মানি জিয়াউর রহমানের দেশ বাংলাদেশ মানি জামাত শিবিরের দেশ বাংলাদেশ বিতাড়িত আওয়ামী লীগ সরকার ইনশাআল্লাহ,,stronglyNegative,-0.9999017477035522,"{""neutral"":0.0010598726803436875,""happy"":0.002467613434419036,""anger/disgust"":0.9935243129730225,""sadness"":0.01582467369735241,""surprise"":0.0008352398872375488,""fear"":0.0007323382305912673}"
54,সময় টিভী তোরা জারজ সন্তান আমেলিগের সাপোর্ট করিছ দেশের মানুষকে ধংশ করিছ গুলো তোদের বেস্যা বিত্তির দল চেনেল,,stronglyNegative,-0.9999254941940308,"{""neutral"":0.0004496438486967236,""happy"":0.0007175744976848364,""anger/disgust"":0.9981361627578735,""sadness"":0.007879539392888546,""surprise"":0.001275430666282773,""fear"":0.000478678586659953}"
55,মাননিয় প্রধান মন্ত্রী বাংলা দেশের সকল নাগরিক আওমীলীগ সমর্থন কারা ১০০০০০০০০০০০০০০০০০ রহিঙ্গা,,stronglyPositive,0.9988205909729004,"{""neutral"":0.0014133634977042675,""happy"":0.0025562806986272335,""anger/disgust"":0.9918791651725769,""sadness"":0.02122688479721546,""surprise"":0.0014495847281068563,""fear"":0.0014067647280171514}"
56,তোদের কুত্তা দিয়ে তোদের গর্ভ ধারিনি জন্ম দিয়েছে দোলিও সাপোর্ট করিছ দেশের অবস্হা ভালো পরও সময় টেলিভিশনের খবরে বেস্যা আমিলিগের দালালি,,stronglyNegative,-0.9999391078948976,"{""neutral"":0.00026380084455013275,""happy"":0.0002734016452450305,""anger/disgust"":0.999264657497406,""sadness"":0.003026318270713091,""surprise"":0.0011296398006379604,""fear"":0.0001632976927794516}"
57,বর্তমান সরকার সরানো দরকার,,weaklyNegative,-0.5995448112487793,"{""neutral"":0.0002904949360527098,""happy"":0.0001416966988472268,""anger/disgust"":0.9993916749954224,""sadness"":0.001976311905309558,""surprise"":0.00016224432329181582,""fear"":0.000024770033633103594}"
58,শুভ কামনা রইল বিএনপি,,weaklyPositive,0.5999497413635255,"{""neutral"":0.010309098288416862,""happy"":0.9907656908035278,""anger/disgust"":0.0010989661095663905,""sadness"":0.0007492778822779655,""surprise"":0.0003517776494845748,""fear"":0.00013493730511981994}"
59,চেয়ে গ্রামের ওয়াজ মাহফিলে মানুষ,,neutral,0.1990864753723144,"{""neutral"":0.47599610686302185,""happy"":0.01537615992128849,""anger/disgust"":0.08041968196630478,""sadness"":0.0427168644964695,""surprise"":0.46116337180137634,""fear"":0.02033556066453457}"
60,দেশে কোনোদিন সফল ভোট হয়নি ক্ষমতায় গিয়েছিল সবাই দেশটাকে লুটেপুটে খেয়েছে আওয়ামী লীগ বিএনপি তেল ডাল চুরি কেহ কম,,stronglyNegative,-0.9999412536621094,"{""neutral"":0.00046454573748633265,""happy"":0.0003077251894865185,""anger/disgust"":0.9974039196968079,""sadness"":0.029256803914904594,""surprise"":0.0012556440196931362,""fear"":0.0006648876005783677}"
61,রাইট ডিজেলের দাম কমাতেহলে মিছিল সমাবেশ লাগাতার করতেহবে,,weaklyNegative,-0.5998810052871704,"{""neutral"":0.09518363326787949,""happy"":0.0019641651306301355,""anger/disgust"":0.9339390397071838,""sadness"":0.020119113847613335,""surprise"":0.004620480351150036,""fear"":0.002480259630829096}"
62,আওয়ামীলীগের ছাত্ররা কাওকে বিএনপি সমাবেশে দে মারামারি আওয়ামীলীগ করলো,,stronglyNegative,-0.9998298406600952,"{""neutral"":0.0006403431762009859,""happy"":0.0002975272655021399,""anger/disgust"":0.9982706308364868,""sadness"":0.004257670603692532,""surprise"":0.0012567556696012616,""fear"":0.0002011431788560003}"
63,হে আল্লাহ দলকে আরো শক্তি শালি করো,,stronglyPositive,0.999833369255066,"{""neutral"":0.5519464015960693,""happy"":0.2867189645767212,""anger/disgust"":0.00252345553599298,""sadness"":0.012424135580658913,""surprise"":0.004898039624094963,""fear"":0.08296045660972595}"
64,ফাও লাফালাফি লাভ বিএনপিকে মানুষ ভোট দিবে অর্জন স্কুলে পড়তাম বাসায় বিদ্যুতের লাইনই ছিলো বাজারে স্কুলে বিদ্যুতের লাইন ছিলো দিনে ১৬ ঘন্টা থাকতো হাটু সমান কাঁদার রাস্তা হেটে স্কুলে লাগতো বাসা থানায় যাওয়ার পাকা রাস্তা ছিলো হাস্পাতালে সিট ছিলো ব্রিজগুলো ছিলো নড়বড়ে ঈদের ঈদ মা বাপ ছেলে মেয়েদের জামা কিনে পারতো পদ্মা সেতু সরাসরি বলেই দিছে ১৫ বছর আগের স্মৃতি ভুলে বাঙালী সময়ে পরিমান চুরি ডাকাতি হতো বাপ চাচারা রাতের বেলা দল বেধে পাহাড়া দিতো বর্তমানে গ্যাস বিদ্যুৎ সমস্যা বিশ্বব্যাপী আমেরিকা ইউরোপ অস্ট্রেলিয়া জার্মানির দেশ গ্যাস বিদ্যুৎ পাচ্ছে বাংলাদেশ বাছুর এক সাথে সকল মোয়া পাওয়া যায় মানুষের চাহিদা ছিলো ভাত ডালের মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা চাইলেই ৫০০ ১০০০ টাকা পেয়ে বাপ মায়ের স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য বলবেন টাকার মান কমে আরেহ ভাই টাকাইতো ছিলো,,weaklyNegative,-0.5967288732528686,"{""neutral"":0.0037610104773193598,""happy"":0.009959393180906773,""anger/disgust"":0.9447028636932373,""sadness"":0.2922273576259613,""surprise"":0.014545254409313202,""fear"":0.02684108540415764}"
65,বড় জোর ১০ মানুষ,,weaklyNegative,-0.5990478277206421,"{""neutral"":0.15912410616874695,""happy"":0.035659000277519226,""anger/disgust"":0.03490913286805153,""sadness"":0.5656594634056091,""surprise"":0.1896941214799881,""fear"":0.043041523545980453}"
66,সময় টিভি বিএনপির খবরও প্রচার,,weaklyNegative,-0.5409449100494385,"{""neutral"":0.9971823692321777,""happy"":0.0010843750787898898,""anger/disgust"":0.0023674198891967535,""sadness"":0.00038899059290997684,""surprise"":0.0019429039675742388,""fear"":0.0002972973161377013}"
67,টিভি চ্যানেল গুলোর শুভ বুদ্ধির উদয় টের পাওয়া পাওয়া ভাব ভালোই,,weaklyNegative,-0.5882198572158813,"{""neutral"":0.12173634767532349,""happy"":0.6073668003082275,""anger/disgust"":0.2696141004562378,""sadness"":0.047105852514505386,""surprise"":0.008586946874856949,""fear"":0.004136689938604832}"
68,কম সংখ্যক সরকার দলের কমেন্ট যাচ্ছ একটা প্রশ্ন সরকার দলের চামচা গুলো বাজারে আসেনা কেজিত ২০টাকা কম নেয়,,weaklyNegative,-0.5982954502105713,"{""neutral"":0.0006011325749568641,""happy"":0.0002464303688611835,""anger/disgust"":0.9978162050247192,""sadness"":0.0065085324458777905,""surprise"":0.00118104403372854,""fear"":0.00018357124645262957}"
69,ভূয়া রিপোর্ট মূল পয়েন্টটিই নি সময় মাঠের উপস্থিতি দেখাচ্ছেন কয়টার সময় লাখো মানুষের লাখের তথ্য পেলেন কোথায় সমাবেশ শুরুর ঘন্টা মাঠের অংশ ফাঁকা স্বাভাবিক ফাঁকা অংশ দেখিয়ে মানুষের উপস্থিতি কম প্রমানের প্রকারান্তরে দলের দালালির নামান্তর,,stronglyNegative,-0.999890160560608,"{""neutral"":0.0010067303664982319,""happy"":0.0004309678915888071,""anger/disgust"":0.9968151450157166,""sadness"":0.011465990915894508,""surprise"":0.005397003144025803,""fear"":0.0005273856804706156}"
70,আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও,,neutral,-0.099017721414566,"{""neutral"":0.20282196998596191,""happy"":0.04403921216726303,""anger/disgust"":0.4722778797149658,""sadness"":0.06123705953359604,""surprise"":0.014734634198248386,""fear"":0.03633691370487213}"
71,বিএনপি নাস্তিক অপশক্তির বিনাষ আররা মুসলিম উম্মাহ মাঠে আছি নাসির ভাই একাই আল্লাহর রহমতে যথেষ্ঠ আল্লাহু আকবার,,stronglyPositive,0.8845109224319458,"{""neutral"":0.05023248866200447,""happy"":0.7681770920753479,""anger/disgust"":0.32667994499206543,""sadness"":0.06489134579896927,""surprise"":0.009161758236587048,""fear"":0.016935620456933975}"
72,আপনাদের সাথে আছি,,weaklyPositive,0.5997962951660157,"{""neutral"":0.19109509885311127,""happy"":0.9126918315887451,""anger/disgust"":0.0012208278058096766,""sadness"":0.0013062111102044582,""surprise"":0.00044859605259262025,""fear"":0.0002816022897604853}"
73,আওয়ামী লীগদের বলছি পুলিশ ছাড়া আসো কালকে দেখি কেমন পারো,,weaklyNegative,-0.5147126913070679,"{""neutral"":0.0003002617449965328,""happy"":0.00019472138956189156,""anger/disgust"":0.9993302822113037,""sadness"":0.002041569445282221,""surprise"":0.00033325114054605365,""fear"":0.00003379067493369803}"
